,,,,,,,,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards,-9999
386,Branden Carlson,26,OKC,C,35,2,376,.522,.671,.344,.601,.529,.601,.127,.455,111,123,96,111,68,104,48,110,15.4,6.0,,carlsbr01
387,Julian Phillips,22,2TM,SF,42,2,364,.429,.556,.321,.515,.882,.550,.173,.541,91,101,90,95,113,95,65,130,-5.5,-6.2,,phillju01
387,Julian Phillips,22,CHI,SF,35,2,334,.420,.538,.327,.511,.818,.533,.125,.557,90,98,91,94,104,92,47,134,-5.6,-8.6,,phillju01
387,Julian Phillips,22,MIN,SF,7,0,30,.500,.667,.250,.550,1.000,.672,.600,.400,107,122,70,101,128,116,226,96,0.1,2.4,,phillju01
388,Jeremiah Robinson-Earl,25,2TM,PF,22,3,361,.370,.458,.244,.420,.944,.468,.180,.410,79,84,68,77,121,81,68,99,-24.7,-24.0,,robinje02
388,Jeremiah Robinson-Earl,25,IND,PF,17,3,300,.349,.420,.242,.398,.929,.443,.169,.398,75,77,68,73,119,76,64,96,-24.2,-24.3,,robinje02
388,Jeremiah Robinson-Earl,25,DAL,PF,5,0,61,.471,.667,.250,.529,1.000,.586,.235,.471,100,122,70,97,128,101,89,113,-0.5,0.3,,robinje02
389,Cam Whitmore,21,WAS,SF,21,0,354,.456,.540,.286,.503,.742,.528,.183,.331,97,99,80,93,95,91,69,80,-13.6,-18.7,,whitmca01
390,Larry Nance Jr.,33,CLE,PF,29,2,353,.381,.422,.346,.474,.600,.479,.052,.536,81,77,97,87,77,83,19,129,-13.4,-20.0,,nancela02
391,Moritz Wagner,28,ORL,C,27,0,352,.435,.485,.345,.497,.831,.564,.404,.360,93,89,96,91,106,97,152,87,-14.9,-5.7,,wagnemo01
392,Myron Gardner,24,MIA,SF,36,7,345,.480,.551,.415,.588,.739,.611,.225,.520,102,101,116,108,94,105,85,125,9.2,7.1,,gardnmy01
393,Terrence Shannon Jr.,25,MIN,SG,30,0,344,.406,.418,.391,.495,.818,.550,.327,.455,87,76,109,91,104,95,123,110,-9.7,-6.9,,shannte01
394,AJ Johnson,21,2TM,SG,39,0,344,.325,.386,.209,.361,.818,.402,.175,.341,69,70,58,66,104,69,66,82,-45.9,-48.2,,johnsaj01
394,AJ Johnson,21,WAS,SG,25,0,214,.325,.345,.280,.367,.750,.396,.145,.301,69,63,78,68,96,68,55,73,-29.2,-32.3,,johnsaj01
394,AJ Johnson,21,DAL,SG,14,0,130,.326,.480,.111,.349,.900,.411,.233,.419,69,88,31,64,115,71,88,101,-16.7,-15.9,,johnsaj01
395,Liam McNeeley,20,CHO,SF,28,0,342,.386,.400,.379,.511,.806,.566,.352,.659,82,73,106,94,103,98,133,159,-5.6,-2.8,,mcneeli01
396,Leonard Miller,22,2TM,SF,32,5,342,.555,.735,.262,.605,.792,.630,.218,.382,118,134,73,111,101,109,82,92,13.4,12.2,,millele01
396,Leonard Miller,22,MIN,SF,19,0,95,.545,.810,.083,.561,.636,.581,.333,.364,116,148,23,103,81,100,126,88,1.1,0.1,,millele01
396,Leonard Miller,22,CHI,SF,13,5,247,.558,.702,.333,.623,.923,.653,.169,.390,119,128,93,115,118,113,64,94,12.3,12.1,,millele01
397,Taelon Peter,23,IND,SG,30,0,335,.358,.692,.312,.495,.538,.501,.123,.877,76,126,87,91,69,86,46,211,-10.2,-17.5,,peterta01
398,Isaiah Livers,27,PHO,PF,33,0,332,.361,.455,.308,.459,.750,.490,.197,.639,77,83,86,84,96,85,74,154,-10.3,-11.8,,liveris01
399,Elijah Harkless,25,UTA,SG,19,3,325,.321,.429,.245,.393,.800,.482,.476,.583,69,78,68,72,102,83,180,140,-25.3,-19.8,,harklej01
400,Kelly Olynyk,34,SAS,C,36,0,322,.494,.711,.262,.557,.667,.584,.345,.483,105,130,73,103,85,101,130,116,2.5,0.9,,olynyke01
401,Nick Smith Jr.,21,LAL,SG,25,1,318,.421,.453,.391,.523,.636,.530,.083,.519,90,83,109,96,81,91,31,125,-5.5,-13.8,,smithni01
402,Christian Koloko,25,3TM,C,23,4,314,.435,.456,.200,.444,.700,.467,.161,.081,93,83,56,82,89,81,61,19,-12.3,-15.0,,kolokch01
402,Christian Koloko,25,LAL,C,2,0,6,,,,,,,,,,,,,,,,,0.0,0.0,,kolokch01
402,Christian Koloko,25,MEM,C,11,2,195,.400,.412,.000,.400,.250,.394,.114,.029,85,75,0,74,32,68,43,7,-10.0,-13.6,,kolokch01
402,Christian Koloko,25,ATL,C,10,2,113,.481,.522,.250,.500,1.000,.557,.222,.148,103,95,70,92,128,96,84,36,-2.3,-1.4,,kolokch01
403,Marcus Sasser,25,DET,PG,26,5,312,.420,.413,.425,.550,.929,.575,.118,.613,90,75,119,101,119,99,44,148,1.7,-1.1,,sassema01
404,Blake Wesley,22,POR,SG,23,0,301,.460,.514,.333,.510,.545,.524,.330,.300,98,94,93,94,70,90,125,72,-6.7,-12.7,,weslebl01
405,Jae'Sean Tate,30,HOU,SF,34,0,287,.513,.593,.333,.564,.571,.567,.090,.308,109,108,93,104,73,98,34,74,3.2,-2.0,,tateja01
406,Zach Edey,23,MEM,C,11,11,284,.633,.656,.200,.638,.781,.669,.327,.051,135,120,56,117,100,115,123,12,18.5,20.1,,edeyza01
407,Yang Hansen,20,POR,C,39,1,277,.301,.434,.125,.328,.828,.402,.312,.430,64,79,35,60,106,69,118,104,-40.0,-37.6,,yangha01
408,Malaki Branham,22,WAS,SG,28,0,275,.473,.537,.378,.549,.824,.604,.374,.407,101,98,106,101,105,104,141,98,1.1,5.2,,branhma01
409,Ty Jerome,28,MEM,SG,12,12,265,.482,.551,.405,.577,.870,.628,.321,.470,103,101,113,106,111,108,121,113,11.5,18.8,,jeromty01
410,Brooks Barnhizer,23,OKC,SG,33,0,259,.380,.424,.294,.430,.667,.446,.120,.340,81,77,82,79,85,77,45,82,-11.3,-14.0,,barnhbr01
411,Duop Reath,29,POR,C,32,0,258,.446,.526,.418,.601,.833,.613,.081,.743,95,96,117,111,106,106,31,179,8.6,5.2,,reathdu01
412,Kevon Looney,29,NOP,C,18,6,251,.442,.512,.111,.452,.625,.468,.154,.173,94,93,31,83,80,81,58,42,-9.5,-12.3,,looneke01
413,Pat Connaughton,33,CHO,SG,32,0,248,.453,.552,.391,.573,.688,.591,.213,.613,97,101,109,106,88,102,81,148,4.5,1.9,,connapa01
414,KJ Simpson,23,2TM,PG,17,2,246,.344,.368,.308,.406,.611,.428,.188,.406,73,67,86,75,78,74,71,98,-26.3,-31.4,,simpskj01
414,KJ Simpson,23,CHO,PG,14,2,223,.348,.380,.308,.416,.625,.437,.180,.438,74,69,86,77,80,75,68,106,-22.7,-27.3,,simpskj01
414,KJ Simpson,23,DEN,PG,3,0,23,.286,.286,,.286,.500,.317,.286,.000,61,52,,53,64,55,108,0,-3.6,-4.1,,simpskj01
415,Cameron Payne,31,PHI,PG,14,1,242,.380,.472,.328,.485,.917,.513,.120,.640,81,86,92,89,117,89,45,154,-11.7,-14.0,,payneca01
416,Ron Harper Jr.,25,BOS,SF,21,2,240,.400,.643,.344,.540,.500,.540,.027,.813,85,117,96,99,64,93,10,196,-0.5,-5.9,,harpero02
417,Taurean Prince,31,MIL,SF,12,0,236,.455,.500,.436,.609,1.000,.621,.055,.709,97,91,122,112,128,107,21,171,7.2,4.7,,princta02
418,Khaman Maluach,19,PHO,C,33,0,234,.537,.628,.182,.556,.765,.594,.315,.204,115,115,51,102,98,102,119,49,1.3,1.7,,maluakh01
419,Chris Paul,40,LAC,PG,16,0,228,.321,.308,.333,.411,.500,.413,.036,.536,69,56,93,76,64,71,13,129,-14.8,-18.9,,paulch01
420,Bronny James,21,LAL,SG,32,1,224,.397,.382,.414,.492,.800,.506,.079,.460,85,70,116,91,102,87,30,111,-6.5,-9.6,,jamesbr02
421,Lindy Waters III,28,SAS,SG,34,0,222,.379,.625,.345,.530,1.000,.534,.015,.879,81,114,96,98,128,92,6,212,-1.7,-6.0,,waterli01
422,Dejounte Murray,29,NOP,PG,8,8,216,.547,.652,.351,.608,.829,.651,.330,.349,117,119,98,112,106,112,125,84,13.8,17.3,,murrade01
423,PJ Hall,23,2TM,C,19,2,214,.508,.500,.600,.534,.793,.599,.492,.085,108,91,168,98,101,103,185,20,-1.1,2.8,,hallpj01
423,PJ Hall,23,MEM,C,7,0,27,.556,.667,.333,.611,.667,.630,.333,.333,118,122,93,112,85,109,126,80,1.2,1.0,,hallpj01
423,PJ Hall,23,CHO,C,12,2,187,.500,.479,1.000,.520,.808,.594,.520,.040,107,87,279,96,103,103,196,10,-2.3,1.8,,hallpj01
424,Scotty Pippen Jr.,25,MEM,PG,10,6,212,.448,.516,.313,.500,.783,.537,.240,.333,96,94,87,92,100,93,90,80,-8.3,-9.0,,pippesc02
425,Andre Jackson Jr.,24,MIL,SG,36,0,210,.250,.346,.176,.300,.900,.349,.167,.567,53,63,49,55,115,60,63,136,-29.2,-29.6,,jacksan01
426,Matisse Thybulle,28,POR,SG,17,0,210,.419,.450,.405,.556,1.000,.595,.161,.677,89,82,113,102,128,103,61,163,1.6,2.0,,thybuma01
427,Joan Beringer,19,MIN,PF,31,1,209,.667,.667,,.667,.647,.674,.283,.000,142,122,,123,83,116,107,0,14.8,12.8,,berinjo01
428,Jordan McLaughlin,29,SAS,PG,34,0,205,.397,.400,.394,.500,.800,.514,.079,.524,85,73,110,92,102,89,30,126,-5.5,-8.6,,mclaujo01
429,Garrison Mathews,29,IND,SG,15,1,196,.404,.667,.370,.567,.826,.628,.442,.885,86,122,103,104,105,108,167,213,2.5,6.0,,mathega01
430,Nigel Hayes-Davis,31,PHO,SF,27,0,195,.326,.433,.125,.348,.500,.356,.087,.348,70,79,35,64,64,61,33,84,-18.0,-21.4,,hayesni01
431,Doug McDermott,34,SAC,SF,17,0,195,.371,.500,.367,.548,1.000,.557,.032,.968,79,91,102,101,128,96,12,233,0.6,-2.9,,mcderdo01
432,DaRon Holmes,23,DEN,PF,19,6,194,.500,.667,.439,.661,.818,.682,.196,.732,107,122,123,122,104,118,74,176,13.2,12.5,,holmeda01
433,Chaz Lanier,24,DET,SG,24,0,191,.338,.400,.320,.462,1.000,.484,.077,.769,72,73,89,85,128,83,29,185,-10.6,-12.9,,laniech01
434,Killian Hayes,24,SAC,PG,11,2,191,.311,.323,.300,.385,.875,.418,.131,.492,66,59,84,71,112,72,49,118,-19.3,-20.8,,hayeski01
435,Jamal Cain,26,ORL,SF,25,0,186,.431,.452,.407,.526,.833,.576,.310,.466,92,82,114,97,106,99,117,112,-2.0,-0.4,,cainja01
436,JD Davison,23,HOU,PG,25,0,184,.389,.500,.286,.463,.556,.474,.167,.519,83,91,80,85,71,82,63,125,-8.7,-12.2,,davisjd01
437,Zach Collins,28,CHI,C,10,0,184,.578,.651,.429,.648,.700,.666,.313,.328,123,119,120,119,89,115,118,79,13.5,12.6,,colliza01
438,Keshad Johnson,24,MIA,SF,24,0,183,.420,.500,.310,.486,.667,.518,.304,.420,90,91,87,89,85,89,115,101,-8.0,-9.7,,johnske10
439,Blake Hinson,26,UTA,SF,9,1,182,.483,.533,.467,.658,.500,.655,.100,.750,103,97,130,121,64,113,38,181,13.8,9.4,,hinsobl01
440,Obi Toppin,27,IND,PF,11,3,180,.400,.613,.250,.473,.840,.535,.333,.587,85,112,70,87,107,92,126,141,-10.5,-7.7,,toppiob01
441,RayJ Dennis,24,3TM,PG,16,0,180,.301,.294,.308,.384,.889,.416,.123,.534,64,54,86,71,113,72,47,129,-23.3,-25.2,,dennira01
441,RayJ Dennis,24,IND,PG,13,0,168,.306,.294,.316,.389,.889,.421,.125,.528,65,54,88,72,113,73,47,127,-22.2,-24.0,,dennira01
441,RayJ Dennis,24,LAC,PG,1,0,4,,,,,,,,,,,,,,,,,0.0,0.0,,dennira01
441,RayJ Dennis,24,ATL,PG,2,0,8,.000,,.000,.000,,.000,.000,1.000,0,,0,0,,0,0,241,-1.1,-1.2,,dennira01
442,Drew Timme,25,LAL,PF,21,0,179,.588,.688,.421,.667,.571,.666,.137,.373,125,126,118,123,73,115,52,90,12.6,9.3,,timmedr01
443,Oscar Tshiebwe,26,UTA,C,13,1,175,.622,.622,,.622,.500,.617,.222,.000,133,114,,115,64,107,84,0,7.1,3.7,,tshieos01
444,Chris Youngblood,23,OKC,SG,32,0,174,.333,.444,.314,.467,.900,.505,.167,.850,71,81,88,86,115,87,63,205,-9.2,-9.6,,youngch01
445,Jonathan Mogbo,24,TOR,PF,28,0,163,.533,.533,,.533,.400,.528,.167,.000,114,97,,98,51,91,63,0,-0.6,-3.3,,mogbojo01
446,DeAndre Jordan,37,NOP,C,10,6,163,.696,.696,,.696,.600,.693,.652,.000,148,127,,128,77,120,246,0,7.0,6.7,,jordade01
447,Hunter Tyson,25,DEN,PF,21,2,162,.269,.368,.212,.337,.846,.398,.250,.635,57,67,59,62,108,69,94,153,-21.5,-20.9,,tysonhu01
448,Leaky Black,26,WAS,SF,5,2,159,.462,.526,.400,.564,1.000,.600,.154,.513,98,96,112,104,128,104,58,124,1.6,1.7,,blackle01
449,Lachlan Olbrich,22,CHI,C,25,0,156,.433,.500,.250,.467,.400,.465,.333,.267,92,91,70,86,51,80,126,64,-4.6,-7.9,,olbrila01
450,Walker Kessler,24,UTA,C,5,5,154,.703,.690,.750,.784,.700,.786,.541,.216,150,126,209,144,89,136,204,52,17.8,18.9,,kesslwa01
451,Julian Reese,22,WAS,PF,5,4,148,.593,.593,,.593,.778,.659,.667,.000,126,108,,109,99,114,252,0,2.7,5.5,,reeseju01
452,Jayson Tatum,27,BOS,PF,5,5,146,.409,.556,.271,.478,.917,.509,.129,.516,87,101,76,88,117,88,49,124,-12.0,-13.9,,tatumja01
453,Xavier Tillman Sr.,27,2TM,C,22,1,143,.421,.619,.176,.461,,.461,.000,.447,90,113,49,85,,79,0,108,-6.3,-9.0,,tillmxa01
453,Xavier Tillman Sr.,27,BOS,C,14,1,111,.452,.688,.200,.500,,.500,.000,.484,96,126,56,92,,86,0,117,-2.7,-4.9,,tillmxa01
453,Xavier Tillman Sr.,27,CHO,C,8,0,32,.286,.400,.000,.286,,.286,.000,.286,61,73,0,53,,49,0,69,-3.6,-4.1,,tillmxa01
454,Mason Plumlee,35,2TM,C,17,2,139,.750,.750,,.750,.643,.743,1.167,.000,160,137,,138,82,128,377,0,5.0,6.0,,plumlma01
454,Mason Plumlee,35,CHO,C,14,2,125,.750,.750,,.750,.667,.752,1.000,.000,160,137,,138,85,130,377,0,5.0,6.0,,plumlma01
454,Mason Plumlee,35,SAS,C,3,0,14,,,,,.500,.568,,,,,,,64,98,,,0.0,0.0,,plumlma01
455,Malevy Leons,26,GSW,SF,15,1,136,.421,.538,.167,.447,.750,.482,.211,.316,90,98,47,82,96,83,79,76,-7.3,-8.1,,leonsma01
456,Jeff Green,39,HOU,PF,25,0,134,.415,.588,.333,.528,1.000,.543,.057,.679,89,107,93,97,128,94,21,164,-1.6,-4.0,,greenje02
457,Miles Kelly,23,DAL,PG,14,0,134,.364,.545,.303,.477,1.000,.484,.023,.750,78,100,85,88,128,83,9,181,-5.8,-8.5,,kellymi02
458,Kevin McCullar Jr.,24,NYK,SF,19,0,127,.382,.412,.353,.471,.400,.470,.147,.500,82,75,99,87,51,81,55,120,-4.9,-8.0,,mcculke01
459,Bradley Beal,32,LAC,SG,6,6,121,.375,.379,.368,.448,.750,.476,.167,.396,80,69,103,82,96,82,63,95,-9.2,-10.7,,bealbr01
460,Amari Williams,24,BOS,PF,19,2,120,.471,.471,,.471,.667,.539,.706,.000,100,86,,87,85,93,266,0,-2.5,-1.8,,william01
461,Tyson Etienne,26,BRK,PG,13,0,120,.333,.000,.357,.500,.900,.547,.222,.933,71,0,100,92,115,94,84,225,-3.9,-3.3,,etienty01
462,E.J. Liddell,25,BRK,PF,15,0,116,.486,.733,.300,.571,.667,.578,.086,.571,104,134,84,105,85,100,32,138,2.0,-0.1,,liddeej01
463,LJ Cryer,24,GSW,PG,9,0,116,.442,.571,.417,.616,.909,.658,.256,.837,94,104,116,113,116,114,97,202,6.3,7.6,,cryerlj01
464,Dereck Lively II,21,DAL,C,7,4,115,.611,.611,,.611,.800,.670,.556,.000,130,112,,112,102,116,210,0,2.4,4.0,,livelde01
465,Yuki Kawamura,24,CHI,PG,10,0,114,.318,.333,.313,.432,1.000,.539,.409,.727,68,61,87,79,128,93,154,175,-4.9,-2.1,,kawamyu01
466,A.J. Lawson,25,TOR,SG,14,0,110,.390,.421,.364,.488,1.000,.545,.220,.537,83,77,102,90,128,94,83,129,-4.5,-3.1,,lawsoaj01
467,Bismack Biyombo,33,SAS,C,19,1,108,.667,.667,,.667,.800,.714,.556,.000,142,122,,123,102,123,210,0,2.2,3.0,,biyombi01
468,Adou Thiero,21,LAL,SF,19,0,104,.476,.500,.000,.476,.800,.551,.476,.048,102,91,0,88,102,95,180,11,-2.8,-1.4,,thierad01
469,Luke Travers,24,CLE,SG,12,0,103,.250,.400,.063,.264,1.000,.350,.250,.444,53,73,17,49,128,60,94,107,-20.1,-18.3,,travelu01
470,Alijah Martin,24,TOR,SG,16,0,102,.353,.450,.214,.397,.813,.487,.471,.412,75,82,60,73,104,84,178,99,-9.9,-7.6,,martial01
471,Nate Williams,26,GSW,SG,8,0,101,.447,.480,.385,.513,.889,.560,.237,.342,95,88,107,94,113,97,89,82,-2.3,-1.6,,willije02
472,Alondes Williams,26,WAS,SG,4,0,101,.615,.917,.357,.712,.875,.745,.308,.538,131,167,100,131,112,129,116,130,8.7,9.8,,willial06
473,MarJon Beauchamp,25,PHI,SF,6,0,99,.471,.600,.368,.574,.818,.618,.324,.559,100,110,103,106,104,107,122,135,2.1,3.0,,beaucma01
474,Chaney Johnson,23,BRK,SF,5,0,97,.500,.538,.444,.591,.643,.621,.636,.409,107,98,124,109,82,107,240,99,2.1,2.4,,johnsch06
475,Andersson Garcia,25,UTA,SF,3,1,97,.278,.444,.111,.306,1.000,.380,.222,.500,59,81,31,56,128,65,84,120,-8.6,-7.9,,garcian01
476,Javonte Cooke,26,POR,SG,19,0,94,.220,.333,.130,.256,1.000,.275,.049,.561,47,61,36,47,128,47,18,135,-23.5,-25.5,,cookeja01
477,Chris Boucher,33,BOS,PF,9,0,94,.320,.600,.133,.360,.750,.392,.160,.600,68,110,37,66,96,68,60,144,-9.2,-10.0,,bouchch01
478,Joe Ingles,38,MIN,SF,23,0,91,.444,.667,.333,.556,1.000,.607,.222,.667,95,122,93,102,128,105,84,161,0.2,0.5,,inglejo01
479,Kobe Bufkin,22,LAL,SG,11,1,90,.289,.444,.150,.329,1.000,.397,.211,.526,62,81,42,61,128,69,79,127,-16.3,-15.1,,bufkiko01
480,Johnny Juzang,24,MIN,SG,21,0,88,.421,.714,.250,.500,.625,.518,.211,.632,90,130,70,92,80,89,79,152,-3.3,-5.1,,juzanjo01
481,Tolu Smith,25,DET,PF,7,0,88,.476,.476,,.476,.722,.571,.857,.000,102,87,,88,92,98,323,0,-2.8,-0.5,,smithto05
482,Thanasis Antetokounmpo,33,MIL,SF,27,0,86,.526,.588,.000,.526,.600,.576,1.053,.105,112,107,0,97,77,99,397,25,-0.6,-0.2,,antetth01
483,Pacôme Dadiet,20,NYK,SG,23,0,86,.348,.375,.333,.457,1.000,.527,.261,.652,74,68,93,84,128,91,98,157,-4.0,-2.7,,dadiepa01
484,Kyle Lowry,39,PHI,PG,10,0,81,.231,,.231,.346,.833,.448,.462,1.000,49,,64,64,106,77,174,241,-5.1,-4.1,,lowryky01
485,Tyler Burton,25,MEM,SF,3,0,78,.167,.111,.200,.229,.667,.282,.250,.625,36,20,56,42,85,49,94,151,-15.1,-15.9,,burtoty01
486,Eric Gordon,37,PHI,SG,6,0,74,.571,.571,.571,.762,.500,.754,.095,.667,122,104,160,140,64,130,36,161,9.2,7.6,,gordoer01
487,Haywood Highsmith,29,PHO,SF,5,0,71,.500,.286,.636,.694,.833,.727,.333,.611,107,52,178,128,106,125,126,147,5.4,6.1,,highsha01
488,Bobi Klintman,22,DET,SF,11,0,69,.308,.308,.308,.385,.000,.366,.115,.500,66,56,86,71,0,63,44,120,-8.3,-11.7,,klintbo01
489,Jalen Slawson,26,IND,SF,3,1,69,.267,.400,.200,.333,.750,.388,.267,.667,57,73,56,61,96,67,101,161,-6.3,-6.4,,slawsja01
490,David Jones García,24,SAS,SF,11,0,68,.520,.500,.600,.580,.500,.579,.240,.200,111,91,168,107,64,100,91,48,1.8,0.0,,jonesda06
491,Isaiah Crawford,24,HOU,SF,11,0,67,.385,.600,.250,.462,.750,.508,.308,.615,82,110,70,85,96,88,116,148,-2.1,-2.1,,crawfis01
492,Kadary Richmond,24,WAS,SG,3,0,67,.625,.667,.500,.688,1.000,.722,.188,.250,133,122,140,127,128,125,71,60,4.6,4.9,,richmka01
493,Antonio Reeves,25,CHO,SG,9,0,66,.500,.429,.538,.675,,.675,.000,.650,107,78,150,124,,116,0,157,5.3,3.8,,reevean01
494,Bez Mbeng,22,UTA,SG,2,0,66,.300,.500,.000,.300,,.300,.000,.400,64,91,0,55,,52,0,96,-4.9,-5.6,,mbengbe01
495,Monte Morris,30,IND,PG,6,0,65,.350,.417,.250,.400,.500,.414,.200,.400,75,76,70,74,64,71,75,96,-5.7,-7.2,,morrimo01
496,Drew Peterson,26,CHO,PF,6,0,64,.125,.500,.000,.125,.500,.148,.125,.750,27,91,0,23,64,26,47,181,-13.4,-14.6,,peterdr01
497,Trey Jemison,26,NYK,C,11,0,61,.571,.571,,.571,1.000,.605,.143,.000,122,104,,105,128,104,54,0,0.4,0.4,,jemistr01
498,James Wiseman,24,IND,C,4,1,58,.600,.600,,.600,.500,.597,.200,.000,128,110,,110,64,103,75,0,1.1,0.4,,wisemja01
499,Patrick Baldwin Jr.,23,3TM,SF,7,0,58,.375,.429,.333,.469,.667,.510,.375,.563,80,78,93,86,85,88,142,135,-2.3,-2.6,,baldwpa01
499,Patrick Baldwin Jr.,23,LAC,SF,2,0,12,.750,1.000,.667,1.000,1.000,1.025,.500,.750,160,183,186,184,128,177,189,181,3.7,4.3,,baldwpa01
499,Patrick Baldwin Jr.,23,PHI,SF,1,0,2,,,,,,,,,,,,,,,,,0.0,0.0,,baldwpa01
499,Patrick Baldwin Jr.,23,SAC,SF,4,0,44,.250,.333,.167,.292,.500,.327,.333,.500,53,61,47,54,64,56,126,120,-6.0,-6.9,,baldwpa01
500,Caleb Houstan,23,ATL,SF,13,0,57,.467,.333,.500,.667,1.000,.705,.200,.800,100,61,140,123,128,122,75,193,3.7,4.1,,houstca01
501,Johni Broome,23,PHI,C,11,0,55,.167,.211,.000,.167,.333,.188,.250,.208,36,38,0,31,43,32,94,50,-18.1,-20.9,,broomjo01
502,Cody Martin,30,IND,SF,4,0,55,.200,.400,.000,.200,.500,.277,.600,.500,43,73,0,37,64,48,226,120,-6.9,-7.6,,martico01
503,Wendell Moore Jr.,24,DET,SG,5,0,54,.571,.667,.000,.571,1.000,.635,.286,.143,122,122,0,105,128,109,108,34,0.4,0.9,,moorewe01
504,Nikola Topić,20,OKC,PG,5,0,53,.438,.455,.400,.500,,.500,.000,.313,93,83,112,92,,86,0,75,-1.4,-2.5,,topicni01
505,TyTy Washington Jr.,24,LAC,PG,9,0,52,.571,.714,.429,.679,,.679,.000,.500,122,130,120,125,,117,0,120,3.8,2.8,,washity02
506,Seth Curry,35,GSW,SG,4,0,51,.588,.600,.571,.706,1.000,.737,.176,.412,125,110,160,130,128,127,67,99,5.5,5.8,,curryse01
507,Lawson Lovering,22,MEM,C,2,1,49,.600,.600,,.600,.400,.574,.500,.000,128,110,,110,51,99,189,0,1.1,-0.1,,loverla01
508,Keshon Gilbert,22,WAS,PG,3,0,48,.250,.500,.000,.250,1.000,.521,1.000,.500,53,91,0,46,128,90,377,120,-2.3,-0.7,,gilbeke01
509,Jahmir Young,25,MIA,PG,10,0,47,.350,.385,.286,.400,1.000,.416,.050,.350,75,70,80,74,128,72,19,84,-5.7,-6.7,,youngja05
510,John Poulakidas,22,DAL,SG,3,0,47,.385,.667,.300,.500,,.500,.000,.769,82,122,84,92,,86,0,185,-1.1,-2.1,,poulajo01
511,DeJon Jarreau,28,MEM,SG,2,0,47,.400,.571,.000,.400,.750,.468,.400,.300,85,104,0,74,96,81,151,72,-2.9,-2.6,,jarrede01
512,Mac McClung,27,2TM,SG,4,0,47,.360,.538,.167,.400,.750,.430,.160,.480,77,98,47,74,96,74,60,116,-7.2,-8.0,,mccluma01
512,Mac McClung,27,IND,SG,3,0,34,.389,.625,.200,.444,.750,.481,.222,.556,83,114,56,82,96,83,84,134,-3.6,-3.9,,mccluma01
512,Mac McClung,27,CHI,SG,1,0,13,.286,.400,.000,.286,,.286,.000,.286,61,73,0,53,,49,0,69,-3.6,-4.1,,mccluma01
513,Garrett Temple,39,TOR,SG,16,0,46,.125,.000,.167,.188,.667,.329,.750,.750,27,0,47,35,85,57,283,181,-5.7,-5.3,,templga01
514,Mo Bamba,27,2TM,C,4,0,44,.455,.455,,.455,,.455,.000,.000,97,83,,84,,78,0,0,-2.0,-2.7,,bambamo01
514,Mo Bamba,27,TOR,C,2,0,6,.000,.000,,.000,,.000,.000,.000,0,0,,0,,0,0,0,-2.2,-2.3,,bambamo01
514,Mo Bamba,27,UTA,C,2,0,38,.556,.556,,.556,,.556,.000,.000,118,101,,102,,96,0,0,0.2,-0.4,,bambamo01
515,Isaiah Stevens,25,SAC,PG,3,0,43,.429,.500,.000,.429,1.000,.571,.571,.143,91,91,0,79,128,98,216,34,-1.6,-0.2,,steveis01
516,Trey Alexander,22,NOP,SG,5,0,42,.667,.667,.667,.778,,.778,.000,.333,142,122,186,143,,134,0,80,4.2,3.6,,alexatr01
517,Dario Šarić,31,SAC,C,5,0,41,.167,.000,.333,.250,1.000,.363,.333,.500,36,0,93,46,128,63,126,120,-3.5,-3.0,,saricda01
518,Malachi Smith,26,BRK,SG,2,0,41,.273,.333,.000,.273,1.000,.306,.091,.182,58,61,0,50,128,53,34,44,-6.0,-6.3,,smithma02
519,Skal Labissière,29,WAS,PF,3,0,38,.600,1.000,.200,.650,,.650,.000,.500,128,183,56,120,,112,0,120,2.1,1.4,,labissk01
520,Charles Bassey,25,2TM,C,3,0,36,.444,.444,,.444,.333,.436,.333,.000,95,81,,82,43,75,126,0,-1.8,-3.0,,bassech01
520,Charles Bassey,25,MEM,C,2,0,31,.375,.375,,.375,.333,.376,.375,.000,80,68,,69,43,65,142,0,-2.7,-3.8,,bassech01
520,Charles Bassey,25,PHI,C,1,0,5,1.000,1.000,,1.000,,1.000,.000,.000,213,183,,184,,173,0,0,0.9,0.8,,bassech01
521,Grant Nelson,23,BRK,PF,4,0,35,.556,.556,,.556,.700,.634,1.111,.000,118,101,,102,89,109,419,0,0.2,1.5,,nelsogr02
522,Tristan Enaruna,24,CLE,SF,6,0,34,.375,.455,.200,.406,.000,.395,.063,.313,80,83,56,75,0,68,24,75,-4.4,-6.1,,enarutr01
523,Emanuel Miller,25,CHI,PF,5,0,33,.462,.571,.333,.538,.500,.540,.154,.462,98,104,93,99,64,93,58,111,-0.1,-1.1,,milleem01
524,Jahmyl Telfort,24,LAC,PF,8,0,32,.000,,.000,.000,.250,.087,1.000,1.000,0,,0,0,32,15,377,241,-4.3,-5.7,,telfoja01
