,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
120,Zion Williamson,25,NOP,PF,52,45,1542,.593,3.6,.994,.574,.373,.043,.004,.006,.595,.733,.403,.467,.000,.250,.504,1.000,.102,67,.000,,0,0,,willizi01
121,Brandon Miller,23,CHO,SF,51,51,1542,.428,17.0,.508,.128,.194,.135,.051,.492,.477,.729,.405,.381,.372,.378,.463,.840,.060,44,.119,.429,0,0,,millebr02
122,P.J. Washington,27,DAL,PF,50,47,1542,.443,12.1,.653,.237,.333,.063,.020,.347,.508,.650,.442,.351,.417,.322,.577,.955,.080,43,.415,.376,0,0,,washipj01
123,Nique Clifford,23,SAC,SG,65,19,1537,.407,15.1,.602,.142,.254,.123,.083,.398,.465,.672,.433,.345,.385,.319,.621,.917,.038,13,.309,.328,0,0,,cliffni01
124,Maxime Raynaud,22,SAC,C,61,43,1532,.568,7.9,.908,.220,.527,.147,.014,.092,.602,.768,.586,.413,.571,.234,.827,.909,.079,38,.255,.083,0,0,,raynama01
125,Dillon Brooks,30,PHO,SF,50,50,1530,.440,16.5,.608,.090,.178,.234,.107,.392,.502,.718,.503,.471,.387,.343,.282,.778,.006,4,.147,.280,0,0,,brookdi01
126,Cam Spencer,25,MEM,SG,64,17,1526,.479,19.5,.416,.069,.109,.145,.093,.584,.529,.600,.527,.521,.489,.444,.450,.756,.000,0,.108,.500,0,0,,spencca01
127,Kyle Filipowski,22,UTA,C,66,30,1510,.495,11.2,.664,.251,.361,.043,.008,.336,.571,.688,.527,.318,.250,.345,.684,.966,.096,44,.462,.329,0,0,,filipky01
128,Moses Moody,23,GSW,SG,59,48,1506,.441,19.2,.318,.119,.117,.054,.028,.682,.526,.766,.413,.310,.400,.402,.644,.959,.020,9,.344,.437,0,0,,moodymo01
129,Tristan Da Silva,24,ORL,SF,62,25,1505,.446,16.1,.473,.158,.212,.075,.028,.527,.513,.705,.476,.270,.357,.387,.650,.950,.061,25,.395,.456,0,0,,dasiltr01
130,Peyton Watson,23,DEN,SF,49,39,1502,.496,12.7,.662,.250,.256,.098,.058,.338,.537,.714,.441,.365,.484,.417,.656,.973,.109,49,.400,.500,0,0,,watsope01
131,Norman Powell,32,MIA,SG,50,49,1501,.473,15.4,.544,.197,.206,.094,.047,.456,.544,.654,.497,.500,.378,.388,.573,.864,.014,10,.158,.316,1,1,AS,powelno01
