,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
416,Nick Richards,28,CHI,C,16,1,365,.529,5.7,.875,.519,.327,.019,.010,.125,.571,.722,.353,.500,.000,.231,.712,1.000,.260,24,.692,.333,0,0,,richani01
417,Jalen Wilson,25,BRK,PF,44,0,618,.382,17.9,.361,.152,.188,.016,.005,.639,.391,.483,.306,.667,.000,.377,.667,.978,.000,0,.254,.452,0,0,,wilsoja03
418,Gary Harris,31,MIL,SG,44,2,609,.443,18.5,.330,.091,.148,.080,.011,.670,.517,.875,.308,.571,.000,.407,.600,1.000,.011,1,.593,.514,0,0,,harriga01
419,Javon Small,23,MEM,PG,32,5,607,.445,16.0,.526,.163,.230,.077,.057,.474,.464,.794,.313,.313,.333,.424,.451,.595,.038,7,.101,.600,0,0,,smallja01
420,Kevin Love,37,UTA,PF,36,5,598,.404,19.5,.290,.150,.088,.036,.016,.710,.464,.379,.529,.571,.667,.380,.654,1.000,.000,0,.175,.458,0,0,,loveke01
421,Jonathan Kuminga,23,2TM,PF,25,14,594,.470,9.8,.737,.292,.292,.127,.025,.263,.511,.652,.493,.300,.167,.355,.506,.955,.131,27,.371,.435,0,0,,kuminjo01
422,Jonathan Kuminga,23,GSW,PF,20,13,476,.454,11.1,.727,.247,.330,.119,.031,.273,.504,.625,.500,.348,.167,.321,.465,.941,.129,21,.340,.389,0,0,,kuminjo01
423,Jonathan Kuminga,23,ATL,PF,5,1,118,.548,8.4,.786,.500,.119,.167,.000,.214,.545,.714,.400,.143,,.556,.667,1.000,.143,6,.556,.600,0,0,,kuminjo01
424,Carter Bryant,20,SAS,PF,57,0,590,.385,16.1,.410,.268,.088,.049,.005,.590,.464,.527,.389,.300,.000,.331,.667,.975,.098,14,.488,.305,0,0,,bryanca01
425,Ben Saraf,19,BRK,SG,32,6,587,.380,11.6,.655,.322,.269,.053,.012,.345,.464,.582,.391,.222,.000,.220,.404,.846,.058,8,.186,.182,0,0,,sarafbe01
426,Kyle Anderson,32,3TM,SF,30,3,578,.558,7.1,.957,.217,.630,.094,.014,.043,.553,.667,.529,.385,1.000,.667,.479,1.000,.043,5,.667,.750,0,0,,anderky01
427,Kyle Anderson,32,UTA,SF,20,0,401,.523,6.5,.954,.239,.633,.073,.009,.046,.519,.654,.478,.375,1.000,.600,.556,1.000,.055,5,.600,.667,0,0,,anderky01
428,Kyle Anderson,32,MEM,SF,4,3,89,.789,9.1,.947,.105,.579,.211,.053,.053,.778,1.000,.818,.500,1.000,1.000,.286,1.000,.000,0,1.000,1.000,0,0,,anderky01
429,Kyle Anderson,32,MIN,SF,6,0,88,.500,5.7,1.000,.200,.700,.100,.000,.000,.500,.500,.571,.000,,,.200,,.000,0,,,0,0,,anderky01
430,Tidjane Salaün,20,CHO,PF,36,0,571,.506,15.1,.475,.272,.203,.000,.000,.525,.587,.744,.375,,,.434,.750,.972,.070,9,.337,.500,0,0,,salauti01
431,Jevon Carter,30,2TM,PG,38,0,571,.393,21.1,.262,.092,.053,.063,.053,.738,.444,.421,.364,.462,.545,.375,.417,.789,.005,1,.283,.349,0,0,,carteje01
432,Jevon Carter,30,CHI,PG,23,0,254,.398,20.9,.243,.097,.068,.029,.049,.757,.360,.400,.286,.667,.200,.410,.444,.813,.000,0,.295,.391,0,0,,carteje01
433,Jevon Carter,30,ORL,PG,15,0,317,.388,21.2,.282,.087,.039,.097,.058,.718,.517,.444,.500,.400,.833,.338,.400,.760,.010,1,.270,.300,0,0,,carteje01
434,Ja Morant,26,MEM,PG,20,20,569,.410,12.5,.736,.227,.258,.177,.075,.264,.473,.658,.410,.404,.292,.235,.241,.700,.031,9,.141,.500,0,0,,moranja01
435,Zeke Nnaji,25,DEN,PF,46,3,566,.474,11.3,.650,.438,.146,.022,.044,.350,.584,.717,.350,.000,.333,.271,.788,1.000,.175,22,.313,.267,0,0,,nnajize01
436,Thomas Bryant,28,CLE,C,50,0,564,.488,14.9,.478,.306,.134,.029,.010,.522,.640,.672,.643,.333,.500,.349,.781,1.000,.134,24,.202,.318,0,0,,bryanth01
437,Domantas Sabonis,29,SAC,C,19,15,564,.543,6.6,.878,.421,.376,.077,.005,.122,.593,.699,.458,.706,.000,.185,.678,1.000,.104,23,.222,.167,0,0,,sabondo01
438,Jett Howard,22,ORL,SF,45,0,563,.406,17.1,.415,.164,.198,.024,.029,.585,.477,.647,.341,.600,.333,.355,.634,.907,.034,5,.273,.424,0,0,,howarje01
439,Aaron Holiday,29,HOU,PG,43,1,558,.396,19.5,.365,.066,.157,.102,.041,.635,.458,.462,.710,.200,.125,.360,.242,.911,.000,0,.280,.457,0,0,,holidaa01
440,Dorian Finney-Smith,32,HOU,PF,31,1,553,.325,19.7,.237,.184,.044,.009,.000,.763,.481,.524,.400,.000,,.276,.615,.917,.018,1,.391,.176,0,0,,finnedo01
441,Drew Eubanks,28,SAC,C,42,11,552,.596,6.4,.955,.314,.494,.135,.013,.045,.617,.837,.519,.524,.000,.143,.826,1.000,.269,35,.714,.200,0,0,,eubandr01
442,Tristan Vukcevic,22,WAS,C,42,8,552,.475,15.9,.564,.179,.171,.156,.058,.436,.586,.761,.682,.400,.267,.330,.753,.865,.051,11,.045,.200,0,0,,vukcetr01
443,Anthony Gill,33,WAS,PF,40,1,528,.574,9.3,.757,.409,.296,.052,.000,.243,.667,.809,.529,.333,,.286,.776,1.000,.052,4,.357,.500,0,0,,gillan01
444,Cole Anthony,25,MIL,PG,35,0,527,.424,14.0,.688,.143,.268,.199,.078,.312,.478,.606,.419,.478,.444,.306,.211,.727,.009,0,.236,.412,0,0,,anthoco01
445,Jonathan Isaac,28,ORL,PF,52,0,521,.422,11.0,.651,.404,.165,.046,.037,.349,.549,.636,.500,.200,.250,.184,.641,1.000,.248,22,.711,.222,0,0,,isaacjo01
446,Kristaps Porziņģis,30,2TM,C,22,13,521,.458,15.6,.594,.173,.203,.107,.111,.406,.534,.660,.455,.517,.500,.345,.605,.974,.089,21,.145,.625,0,0,,porzikr01
447,Kristaps Porziņģis,30,ATL,C,17,12,413,.457,15.8,.590,.181,.171,.119,.119,.410,.524,.632,.472,.480,.480,.360,.615,1.000,.090,17,.174,.667,0,0,,porzikr01
448,Kristaps Porziņģis,30,GSW,C,5,1,108,.459,15.5,.607,.148,.311,.066,.082,.393,.568,.778,.421,.750,.600,.292,.571,.857,.082,4,.042,.000,0,0,,porzikr01
449,Jordan Hawkins,23,NOP,SG,43,0,517,.320,19.9,.431,.077,.055,.077,.221,.569,.346,.500,.100,.357,.350,.301,.741,.903,.033,1,.214,.455,0,0,,hawkijo01
450,Jamaree Bouyea,26,PHO,PG,34,0,516,.475,14.2,.657,.171,.260,.094,.133,.343,.563,.968,.426,.529,.333,.306,.418,.632,.033,5,.242,.400,0,0,,bouyeja01
451,Jase Richardson,20,ORL,SG,45,0,512,.461,14.4,.563,.180,.287,.072,.024,.437,.543,.700,.479,.417,.500,.356,.588,.923,.036,4,.315,.478,0,0,,richaja02
452,Dalton Knecht,24,LAL,SF,48,1,509,.448,17.9,.420,.155,.115,.126,.023,.580,.644,.778,.550,.591,.500,.307,.681,.968,.075,11,.238,.292,0,0,,knechda01
453,Jalen Green,23,PHO,SG,20,15,501,.407,16.8,.519,.173,.154,.062,.130,.481,.506,.625,.380,.600,.452,.301,.341,.596,.046,9,.199,.452,0,0,,greenja05
454,Mohamed Diawara,20,NYK,SF,58,6,499,.429,18.1,.389,.183,.109,.051,.046,.611,.485,.531,.211,.667,.750,.393,.636,.976,.006,1,.234,.680,0,0,,diawamo01
455,D'Angelo Russell,29,DAL,PG,26,3,495,.405,17.3,.517,.086,.194,.159,.078,.483,.508,.650,.511,.486,.389,.295,.295,.758,.000,0,.152,.118,0,0,,russeda01
456,Dalen Terry,23,2TM,SG,42,0,492,.429,13.0,.556,.338,.188,.015,.015,.444,.459,.578,.280,.500,.000,.390,.471,.957,.030,3,.475,.429,0,0,,terryda01
457,Dalen Terry,23,CHI,SG,34,0,377,.441,13.0,.549,.363,.157,.010,.020,.451,.464,.568,.313,.000,.000,.413,.538,1.000,.029,3,.522,.500,0,0,,terryda01
458,Dalen Terry,23,PHI,SG,8,0,115,.387,13.0,.581,.258,.290,.032,.000,.419,.444,.625,.222,1.000,,.308,.250,.750,.032,0,.308,.000,0,0,,terryda01
459,Daeqwon Plowden,27,SAC,SG,20,2,486,.392,17.5,.365,.155,.182,.027,.000,.635,.574,.870,.296,.750,,.287,.710,.926,.135,16,.309,.207,0,0,,plowdda01
460,Keaton Wallace,26,ATL,PG,46,2,476,.408,19.6,.408,.034,.136,.184,.054,.592,.433,.600,.450,.444,.250,.391,.346,.912,.007,1,.092,.500,0,0,,wallake01
461,Grant Williams,27,CHO,PF,24,3,471,.412,20.4,.267,.061,.107,.076,.023,.733,.514,.750,.357,.500,.667,.375,.722,.972,.015,2,.354,.412,0,0,,willigr01
462,Jahmai Mashack,23,MEM,SG,24,3,449,.381,12.7,.603,.286,.262,.048,.008,.397,.447,.583,.333,.333,.000,.280,.765,1.000,.000,0,.220,.091,0,0,,mashaja01
463,Trayce Jackson-Davis,25,2TM,C,44,1,449,.566,2.5,.991,.681,.310,.000,.000,.009,.563,.688,.286,,,1.000,.746,1.000,.336,33,.000,,1,1,,jackstr02
464,Trayce Jackson-Davis,25,GSW,C,36,1,411,.588,2.9,.990,.667,.324,.000,.000,.010,.584,.721,.303,,,1.000,.780,1.000,.343,31,.000,,1,1,,jackstr02
465,Trayce Jackson-Davis,25,TOR,C,8,0,38,.364,2.0,1.000,.818,.182,.000,.000,.000,.364,.444,.000,,,,.250,,.273,2,,,0,0,,jackstr02
466,Kam Jones,23,IND,SG,28,7,446,.424,14.8,.559,.119,.373,.042,.025,.441,.515,.714,.432,.600,.667,.308,.412,.750,.008,0,.250,.308,0,0,,joneska03
467,Asa Newell,20,ATL,PF,40,1,445,.537,12.5,.537,.396,.141,.000,.000,.463,.663,.712,.524,,,.391,.698,1.000,.181,23,.623,.372,0,0,,newelas01
468,Tyrese Proctor,21,CLE,PG,42,1,436,.395,18.5,.395,.147,.130,.068,.051,.605,.486,.615,.304,.583,.444,.336,.412,.806,.017,3,.168,.333,0,0,,proctty01
469,Amir Coffey,28,2TM,SG,42,2,432,.484,15.4,.559,.183,.140,.140,.097,.441,.615,.941,.385,.462,.556,.317,.563,1.000,.022,2,.561,.304,0,0,,coffeam01
470,Amir Coffey,28,MIL,SG,30,2,265,.473,15.6,.545,.200,.127,.127,.091,.455,.633,1.000,.286,.571,.400,.280,.526,1.000,.018,1,.640,.250,0,0,,coffeam01
471,Amir Coffey,28,PHO,SG,12,0,167,.500,15.3,.579,.158,.158,.158,.105,.421,.591,.833,.500,.333,.750,.375,.615,1.000,.026,1,.438,.429,0,0,,coffeam01
472,Ariel Hukporti,23,NYK,C,48,4,430,.550,4.8,.933,.617,.283,.033,.000,.067,.571,.784,.176,.000,,.250,.906,1.000,.283,16,.000,,0,0,,hukpoar01
473,Rasheer Fleming,21,PHO,PF,42,0,425,.402,16.1,.402,.265,.091,.030,.015,.598,.472,.543,.500,.000,.000,.354,.840,1.000,.098,11,.481,.368,0,0,,flemira01
474,Moussa Cisse,23,DAL,C,34,1,425,.590,1.8,1.000,.807,.193,.000,.000,.000,.590,.642,.375,,,,.714,,.398,29,,,0,0,,cissemo01
475,Yanic Konan Niederhäuser,22,LAC,C,41,0,424,.640,4.1,.950,.570,.350,.030,.000,.050,.663,.702,.629,.333,,.200,.714,1.000,.350,29,.200,.000,0,0,,konanya01
476,Jamison Battle,24,TOR,SF,49,2,418,.505,17.3,.404,.248,.083,.037,.037,.596,.636,.630,.778,.500,.500,.415,.893,1.000,.064,6,.338,.455,1,0,,battlja01
477,Cam Christie,20,LAC,SG,45,0,417,.377,12.8,.615,.262,.262,.090,.000,.385,.453,.656,.219,.545,,.255,.735,1.000,.074,6,.277,.385,0,0,,chrisca02
478,Ethan Thompson,26,IND,SG,24,6,417,.367,18.5,.375,.083,.150,.117,.025,.625,.467,.700,.556,.143,.667,.307,.667,1.000,.000,0,.427,.313,0,0,,thompet01
479,Tony Bradley,28,IND,C,38,3,416,.557,4.6,.981,.509,.377,.038,.057,.019,.558,.667,.425,.500,.500,.500,.690,1.000,.075,7,1.000,.500,0,0,,bradlto01
480,Jeremy Sochan,22,2TM,PF,38,0,411,.477,10.3,.658,.414,.207,.018,.018,.342,.603,.717,.478,.000,.000,.237,.773,1.000,.180,16,.500,.368,0,0,,sochaje01
481,Jeremy Sochan,22,SAS,PF,28,0,358,.475,10.9,.646,.394,.222,.020,.010,.354,.594,.692,.500,.000,.000,.257,.789,1.000,.172,13,.514,.389,0,0,,sochaje01
482,Jeremy Sochan,22,NYK,PF,10,0,53,.500,9.7,.750,.583,.083,.000,.083,.250,.667,.857,.000,,.000,.000,.667,,.250,3,.333,.000,0,0,,sochaje01
483,Scoot Henderson,21,POR,PG,17,3,394,.415,16.5,.500,.197,.176,.059,.069,.500,.489,.703,.242,.455,.538,.340,.457,.781,.027,5,.170,.188,0,0,,hendesc01
484,Bogdan Bogdanović,33,LAC,SG,18,3,389,.367,19.2,.391,.109,.125,.102,.055,.609,.440,.643,.188,.615,.286,.321,.227,.600,.000,0,.128,.600,0,0,,bogdabo01
485,Devin Carter,23,SAC,PG,27,2,386,.396,13.3,.622,.201,.341,.073,.006,.378,.520,.818,.464,.000,.000,.194,.358,.750,.091,13,.097,.167,0,0,,cartede02
486,Trae Young,27,2TM,PG,15,15,384,.458,17.2,.548,.147,.175,.153,.073,.452,.557,.692,.516,.556,.385,.338,.426,.481,.000,0,.100,.375,0,0,,youngtr01
487,Trae Young,27,ATL,PG,10,10,280,.415,16.6,.563,.156,.178,.156,.074,.437,.500,.619,.500,.476,.300,.305,.395,.556,.000,0,.119,.429,0,0,,youngtr01
488,Trae Young,27,WAS,PG,5,5,104,.595,17.9,.500,.119,.167,.143,.071,.500,.762,1.000,.571,.833,.667,.429,.500,.333,.000,0,.048,.000,0,0,,youngtr01
489,Maxi Kleber,34,LAL,PF,35,1,383,.467,12.7,.633,.250,.267,.117,.000,.367,.579,.600,.688,.286,,.273,1.000,1.000,.150,9,.136,.000,0,0,,klebima01
490,Sharife Cooper,24,WAS,PG,26,0,381,.485,11.9,.697,.326,.205,.106,.061,.303,.543,.744,.370,.286,.500,.350,.340,.643,.000,0,.400,.250,0,0,,coopesh01
491,Pete Nance,25,MIL,PF,34,0,379,.557,16.9,.387,.236,.142,.009,.000,.613,.707,.880,.467,.000,,.462,.759,1.000,.075,7,.308,.550,0,0,,nancepe01
492,Branden Carlson,26,OKC,C,35,2,376,.522,13.1,.545,.373,.149,.015,.007,.455,.671,.780,.500,.000,.000,.344,.796,1.000,.261,30,.213,.308,0,0,,carlsbr01
493,Julian Phillips,22,2TM,SF,42,2,364,.429,13.6,.459,.347,.092,.010,.010,.541,.556,.588,.333,1.000,1.000,.321,.640,1.000,.204,15,.623,.303,0,0,,phillju01
494,Julian Phillips,22,CHI,SF,35,2,334,.420,14.6,.443,.352,.068,.011,.011,.557,.538,.548,.333,1.000,1.000,.327,.714,1.000,.216,14,.612,.300,0,0,,phillju01
495,Julian Phillips,22,MIN,SF,7,0,30,.500,12.6,.600,.300,.300,.000,.000,.400,.667,1.000,.333,,,.250,.250,1.000,.100,1,.750,.333,0,0,,phillju01
496,Jeremiah Robinson-Earl,25,2TM,PF,22,3,361,.370,12.6,.590,.350,.160,.050,.030,.410,.458,.514,.313,.600,.333,.244,.481,1.000,.040,4,.561,.174,0,0,,robinje02
497,Jeremiah Robinson-Earl,25,IND,PF,17,3,300,.349,12.3,.602,.349,.169,.060,.024,.398,.420,.448,.286,.600,.500,.242,.476,1.000,.024,2,.485,.188,0,0,,robinje02
498,Jeremiah Robinson-Earl,25,DAL,PF,5,0,61,.471,12.9,.529,.353,.118,.000,.059,.471,.667,.833,.500,,.000,.250,.500,1.000,.118,2,.875,.143,0,0,,robinje02
499,Cam Whitmore,21,WAS,SF,21,0,354,.456,12.1,.669,.361,.213,.047,.047,.331,.540,.770,.278,.375,.125,.286,.590,.625,.142,19,.054,.000,0,0,,whitmca01
500,Larry Nance Jr.,33,CLE,PF,29,2,353,.381,14.8,.464,.289,.134,.041,.000,.536,.422,.607,.077,.250,,.346,.684,1.000,.113,10,.500,.500,0,0,,nancela02
501,Moritz Wagner,28,ORL,C,27,0,352,.435,11.4,.640,.248,.373,.019,.000,.360,.485,.600,.400,.667,,.345,.840,.900,.037,6,.241,.357,0,0,,wagnemo01
502,Myron Gardner,24,MIA,SF,36,7,345,.480,14.6,.480,.304,.137,.039,.000,.520,.551,.613,.500,.250,,.415,.519,.955,.039,3,.264,.286,0,0,,gardnmy01
503,Terrence Shannon Jr.,25,MIN,SG,30,0,344,.406,13.7,.545,.337,.139,.040,.030,.455,.418,.588,.143,.250,.000,.391,.565,.778,.050,4,.457,.286,0,0,,shannte01
504,AJ Johnson,21,2TM,SG,39,0,344,.325,12.0,.659,.302,.333,.016,.008,.341,.386,.526,.286,.000,.000,.209,.406,.778,.079,7,.186,.250,0,0,,johnsaj01
505,AJ Johnson,21,WAS,SG,25,0,214,.325,11.0,.699,.301,.361,.024,.012,.301,.345,.480,.267,.000,.000,.280,.350,.857,.108,6,.160,.250,0,0,,johnsaj01
506,AJ Johnson,21,DAL,SG,14,0,130,.326,13.0,.581,.302,.279,.000,.000,.419,.480,.615,.333,,,.111,.500,.500,.023,1,.222,.250,0,0,,johnsaj01
507,Liam McNeeley,20,CHO,SF,28,0,342,.386,18.6,.341,.114,.193,.034,.000,.659,.400,.700,.294,.000,,.379,.667,.955,.000,0,.362,.381,0,0,,mcneeli01
508,Leonard Miller,22,2TM,SF,32,5,342,.555,11.0,.618,.400,.218,.000,.000,.382,.735,.864,.500,,,.262,.720,1.000,.127,14,.619,.346,0,0,,millele01
509,Leonard Miller,22,MIN,SF,19,0,95,.545,10.7,.636,.424,.212,.000,.000,.364,.810,.857,.714,,,.083,.706,1.000,.152,5,.750,.111,0,0,,millele01
510,Leonard Miller,22,CHI,SF,13,5,247,.558,11.3,.610,.390,.221,.000,.000,.390,.702,.867,.412,,,.333,.727,1.000,.117,9,.567,.471,0,0,,millele01
511,Taelon Peter,23,IND,SG,30,0,335,.358,23.4,.123,.094,.019,.000,.009,.877,.692,.800,.500,,.000,.312,.889,.897,.038,4,.247,.174,0,0,,peterta01
512,Isaiah Livers,27,PHO,PF,33,0,332,.361,17.9,.361,.164,.148,.033,.016,.639,.455,.800,.111,.500,.000,.308,.500,1.000,.033,2,.436,.353,0,0,,liveris01
513,Elijah Harkless,25,UTA,SG,19,3,325,.321,17.6,.417,.143,.143,.060,.071,.583,.429,.500,.500,.200,.333,.245,.333,1.000,.000,0,.306,.333,0,0,,harklej01
514,Kelly Olynyk,34,SAS,C,36,0,322,.494,14.4,.517,.299,.161,.034,.023,.483,.711,.885,.500,.000,1.000,.262,.406,1.000,.011,1,.214,.444,0,0,,olynyke01
515,Nick Smith Jr.,21,LAL,SG,25,1,318,.421,18.8,.481,.045,.173,.211,.053,.519,.453,.667,.522,.357,.429,.391,.241,.630,.008,1,.116,.125,0,0,,smithni01
516,Christian Koloko,25,3TM,C,23,4,314,.435,6.6,.919,.452,.306,.129,.032,.081,.456,.643,.263,.375,.000,.200,.808,1.000,.290,14,.400,.000,0,0,,kolokch01
517,Christian Koloko,25,LAL,C,2,0,6,,,,,,,,,,,,,,,,,,0,,,0,0,,kolokch01
518,Christian Koloko,25,MEM,C,11,2,195,.400,4.9,.971,.486,.371,.086,.029,.029,.412,.588,.308,.000,.000,.000,.786,,.314,8,.000,,0,0,,kolokch01
519,Christian Koloko,25,ATL,C,10,2,113,.481,8.3,.852,.407,.222,.185,.037,.148,.522,.727,.167,.600,.000,.250,.833,1.000,.259,6,.500,.000,0,0,,kolokch01
520,Marcus Sasser,25,DET,PG,26,5,312,.420,18.7,.387,.118,.134,.076,.059,.613,.413,.643,.375,.222,.286,.425,.474,.774,.000,0,.233,.588,0,0,,sassema01
521,Blake Wesley,22,POR,SG,23,0,301,.460,11.2,.700,.410,.140,.090,.060,.300,.514,.707,.357,.111,.167,.333,.333,1.000,.020,2,.267,.375,0,0,,weslebl01
522,Jae'Sean Tate,30,HOU,SF,34,0,287,.513,10.8,.692,.269,.321,.090,.013,.308,.593,.714,.560,.286,1.000,.333,.625,.875,.013,1,.667,.375,0,0,,tateja01
523,Zach Edey,23,MEM,C,11,11,284,.633,5.2,.949,.418,.469,.061,.000,.051,.656,.732,.630,.333,,.200,.820,1.000,.194,17,.000,,0,0,,edeyza01
524,Yang Hansen,20,POR,C,39,1,277,.301,13.9,.570,.215,.290,.065,.000,.430,.434,.700,.333,.000,,.125,.565,1.000,.097,6,.250,.100,0,0,,yangha01
525,Malaki Branham,22,WAS,SG,28,0,275,.473,13.2,.593,.253,.297,.033,.011,.407,.537,.609,.444,.667,1.000,.378,.552,.929,.033,2,.135,.200,0,0,,branhma01
526,Ty Jerome,28,MEM,SG,12,12,265,.482,16.7,.530,.101,.268,.137,.024,.470,.551,.706,.467,.696,.000,.405,.327,.281,.000,0,.038,1.000,0,0,,jeromty01
527,Brooks Barnhizer,23,OKC,SG,33,0,259,.380,12.7,.660,.240,.240,.140,.040,.340,.424,.583,.417,.286,.000,.294,.643,1.000,.060,2,.588,.400,0,0,,barnhbr01
528,Duop Reath,29,POR,C,32,0,258,.446,19.3,.257,.176,.081,.000,.000,.743,.526,.615,.333,,,.418,.700,.957,.027,1,.400,.455,0,0,,reathdu01
529,Kevon Looney,29,NOP,C,18,6,251,.442,7.5,.827,.558,.154,.058,.058,.173,.512,.655,.250,.000,.333,.111,.273,1.000,.019,0,.111,.000,0,0,,looneke01
530,Pat Connaughton,33,CHO,SG,32,0,248,.453,17.1,.387,.133,.240,.013,.000,.613,.552,.600,.556,.000,,.391,.750,1.000,.027,2,.326,.400,0,0,,connapa01
531,KJ Simpson,23,2TM,PG,17,2,246,.344,10.4,.594,.281,.167,.135,.010,.406,.368,.481,.250,.308,.000,.308,.286,.750,.021,2,.154,.500,0,0,,simpskj01
532,KJ Simpson,23,CHO,PG,14,2,223,.348,14.9,.562,.270,.157,.124,.011,.438,.380,.458,.286,.364,.000,.308,.316,.750,.011,1,.154,.500,0,0,,simpskj01
533,KJ Simpson,23,DEN,PG,3,0,23,.286,5.9,1.000,.429,.286,.286,.000,.000,.286,.667,.000,.000,,,.000,,.143,1,,,0,0,,simpskj01
534,Cameron Payne,31,PHI,PG,14,1,242,.380,19.7,.360,.100,.190,.060,.010,.640,.472,.600,.421,.500,.000,.328,.176,.429,.000,0,.031,.500,0,0,,payneca01
535,Ron Harper Jr.,25,BOS,SF,21,2,240,.400,21.2,.187,.107,.053,.027,.000,.813,.643,.750,.250,1.000,,.344,.333,1.000,.013,1,.426,.346,0,0,,harpero02
536,Taurean Prince,31,MIL,SF,12,0,236,.455,19.5,.291,.091,.109,.055,.036,.709,.500,.800,.333,.333,.500,.436,.750,1.000,.018,1,.513,.500,0,0,,princta02
537,Khaman Maluach,19,PHO,C,33,0,234,.537,7.0,.796,.630,.148,.019,.000,.204,.628,.706,.375,.000,,.182,.630,1.000,.259,12,.273,.333,0,0,,maluakh01
538,Chris Paul,40,LAC,PG,16,0,228,.321,19.3,.464,.018,.125,.232,.089,.536,.308,1.000,.429,.154,.400,.333,.125,.500,.000,0,.133,.500,0,0,,paulch01
539,Bronny James,21,LAL,SG,32,1,224,.397,17.3,.540,.111,.143,.190,.095,.460,.382,.714,.222,.333,.333,.414,.462,.667,.079,4,.172,.000,0,0,,jamesbr02
540,Lindy Waters III,28,SAS,SG,34,0,222,.379,23.2,.121,.061,.030,.015,.015,.879,.625,.500,.500,1.000,1.000,.345,.600,.900,.015,1,.259,.467,0,0,,waterli01
541,Dejounte Murray,29,NOP,PG,8,8,216,.547,14.1,.651,.217,.179,.208,.047,.349,.652,.652,.579,.727,.600,.351,.289,.692,.019,2,.162,.333,0,0,,murrade01
542,PJ Hall,23,2TM,C,19,2,214,.508,7.5,.915,.644,.220,.017,.034,.085,.500,.632,.231,.000,.000,.600,.741,1.000,.254,9,.600,.667,0,0,,hallpj01
543,PJ Hall,23,MEM,C,7,0,27,.556,11.3,.667,.333,.333,.000,.000,.333,.667,1.000,.333,,,.333,1.000,1.000,.111,1,.333,.000,0,0,,hallpj01
544,PJ Hall,23,CHO,C,12,2,187,.500,3.7,.960,.700,.200,.020,.040,.040,.479,.600,.200,.000,.000,1.000,.696,1.000,.280,8,1.000,1.000,0,0,,hallpj01
545,Scotty Pippen Jr.,25,MEM,PG,10,6,212,.448,13.0,.667,.240,.198,.188,.042,.333,.516,.739,.316,.444,.500,.313,.455,.800,.010,1,.156,.000,0,0,,pippesc02
546,Andre Jackson Jr.,24,MIL,SG,36,0,210,.250,16.8,.433,.217,.100,.100,.017,.567,.346,.615,.167,.000,.000,.176,.556,.833,.150,7,.382,.077,0,0,,jacksan01
547,Matisse Thybulle,28,POR,SG,17,0,210,.419,17.8,.323,.194,.129,.000,.000,.677,.450,.583,.250,,,.405,.556,1.000,.016,1,.429,.222,0,0,,thybuma01
548,Joan Beringer,19,MIN,PF,31,1,209,.667,1.7,1.000,.833,.167,.000,.000,.000,.667,.760,.200,,,,.800,,.383,23,,,0,0,,berinjo01
549,Jordan McLaughlin,29,SAS,PG,34,0,205,.397,15.2,.476,.238,.175,.063,.000,.524,.400,.600,.182,.250,,.394,.250,.846,.000,0,.424,.357,0,0,,mclaujo01
550,Garrison Mathews,29,IND,SG,15,1,196,.404,23.3,.115,.058,.038,.019,.000,.885,.667,.333,1.000,1.000,,.370,1.000,1.000,.000,0,.370,.471,0,0,,mathega01
551,Nigel Hayes-Davis,31,PHO,SF,27,0,195,.326,14.9,.652,.087,.283,.239,.043,.348,.433,.500,.538,.364,.000,.125,.385,1.000,.000,0,.188,.000,0,0,,hayesni01
552,Doug McDermott,34,SAC,SF,17,0,195,.371,25.2,.032,.016,.016,.000,.000,.968,.500,1.000,.000,,,.367,1.000,1.000,.032,1,.217,.692,0,0,,mcderdo01
553,DaRon Holmes,23,DEN,PF,19,6,194,.500,19.7,.268,.161,.071,.036,.000,.732,.667,.667,.500,1.000,,.439,1.000,1.000,.143,6,.195,.625,0,0,,holmeda01
554,Chaz Lanier,24,DET,SG,24,0,191,.338,22.8,.231,.031,.031,.062,.108,.769,.400,.500,.000,.750,.286,.320,.667,.938,.000,0,.220,.182,0,0,,laniech01
555,Killian Hayes,24,SAC,PG,11,2,191,.311,18.0,.508,.033,.197,.197,.082,.492,.323,1.000,.250,.333,.200,.300,.400,.667,.000,0,.133,.000,0,0,,hayeski01
556,Jamal Cain,26,ORL,SF,25,0,186,.431,15.5,.534,.172,.190,.121,.052,.466,.452,.500,.455,.429,.333,.407,.714,.909,.052,3,.556,.333,0,0,,cainja01
557,JD Davison,23,HOU,PG,25,0,184,.389,17.3,.481,.037,.241,.185,.019,.519,.500,1.000,.462,.400,1.000,.286,.385,1.000,.000,0,.214,.000,0,0,,davisjd01
558,Zach Collins,28,CHI,C,10,0,184,.578,10.8,.672,.422,.156,.078,.016,.328,.651,.778,.400,.400,1.000,.429,.821,1.000,.016,1,.429,.556,0,0,,colliza01
