Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
178,Bilal Coulibaly,21,WAS,SG,47,47,26.6,3.8,9.1,.415,1.1,3.6,.310,2.6,5.4,.486,.478,2.4,3.2,.752,0.9,3.6,4.4,2.6,1.4,0.9,1.5,2.6,11.0,,coulibi01
179,Isaiah Joe,26,OKC,SG,60,9,21.9,3.4,7.7,.445,2.5,6.0,.411,1.0,1.8,.562,.604,1.6,1.9,.883,0.5,2.2,2.7,1.4,0.7,0.2,0.6,1.8,11.0,,joeis01
180,Alondes Williams,26,WAS,SG,4,0,25.3,4.0,6.5,.615,1.3,3.5,.357,2.8,3.0,.917,.712,1.8,2.0,.875,1.3,5.0,6.3,3.0,0.8,0.8,1.3,1.0,11.0,,willial06
181,Derrick Jones Jr.,28,LAC,SF,36,31,27.1,4.1,8.0,.507,1.3,3.4,.366,2.8,4.6,.612,.585,1.6,2.1,.760,1.1,2.0,3.1,1.3,1.0,1.1,0.8,2.0,10.9,,jonesde02
182,Jusuf Nurkić,31,UTA,C,41,36,26.4,4.4,8.7,.503,0.6,1.7,.352,3.8,7.0,.540,.538,1.5,2.8,.549,2.6,7.8,10.4,4.8,1.3,0.5,2.5,3.3,10.9,,nurkiju01
183,Jock Landale,30,2TM,C,61,26,22.1,4.2,8.2,.515,1.1,2.8,.390,3.1,5.4,.581,.582,1.2,2.0,.639,2.9,3.0,5.8,1.6,0.5,0.5,0.9,2.2,10.8,,landajo01
183,Jock Landale,30,MEM,C,45,25,23.6,4.4,8.6,.514,1.1,2.9,.380,3.4,5.8,.581,.577,1.3,2.0,.674,3.1,3.4,6.5,1.7,0.6,0.5,1.0,2.3,11.3,,landajo01
183,Jock Landale,30,ATL,C,16,1,18.2,3.6,6.9,.518,1.1,2.7,.419,2.4,4.2,.582,.600,1.0,1.9,.533,2.1,1.9,4.0,1.4,0.3,0.5,0.5,1.9,9.3,,landajo01
184,Rudy Gobert,33,MIN,C,66,66,31.5,4.3,6.1,.704,0.0,0.1,.000,4.3,6.1,.711,.704,2.1,4.2,.515,3.8,7.5,11.4,1.8,0.8,1.6,1.4,2.6,10.8,,goberru01
185,Pelle Larsson,24,MIA,SG,58,45,25.6,3.8,7.7,.491,0.9,2.7,.333,2.8,4.9,.579,.551,2.4,3.0,.800,0.9,2.5,3.4,3.3,0.7,0.2,1.3,2.0,10.8,,larsspe01
186,Sandro Mamukelashvili,26,TOR,C,65,12,21.9,4.0,7.8,.515,1.3,3.6,.367,2.7,4.1,.646,.601,1.4,1.9,.754,1.4,3.5,4.9,1.8,0.8,0.6,0.8,2.0,10.8,,mamuksa01
187,Tari Eason,24,HOU,PF,45,31,26.3,4.1,9.8,.421,1.7,4.5,.378,2.4,5.3,.458,.508,0.6,0.9,.690,2.0,4.3,6.4,1.6,1.3,0.5,1.5,2.4,10.6,,easonta01
188,Kyle Filipowski,22,UTA,C,66,30,22.9,3.8,7.7,.495,0.9,2.6,.345,2.9,5.1,.571,.553,2.0,2.7,.747,1.9,5.1,7.0,2.4,1.0,0.5,1.6,3.0,10.5,,filipky01
189,Egor Dёmin,19,BRK,PG,52,45,25.2,3.4,8.6,.399,2.4,6.2,.385,1.1,2.4,.433,.537,1.0,1.3,.831,0.4,2.8,3.2,3.3,0.8,0.3,1.7,1.8,10.3,,demineg01
190,Jalen Smith,25,CHI,C,50,18,20.9,3.7,7.8,.476,1.5,4.2,.365,2.2,3.6,.606,.574,1.3,1.8,.736,1.9,5.0,6.9,1.2,0.5,0.8,0.9,2.1,10.3,,smithja04
191,Harrison Barnes,33,SAS,PF,64,50,26.6,3.5,7.8,.448,1.9,4.9,.383,1.6,2.9,.556,.567,1.4,1.7,.849,0.9,2.1,2.9,2.0,0.7,0.2,0.9,1.2,10.2,,barneha02
192,D'Angelo Russell,29,DAL,PG,26,3,19.0,3.6,8.9,.405,1.3,4.3,.295,2.3,4.6,.508,.476,1.7,2.3,.717,0.3,2.0,2.3,4.0,0.5,0.1,1.9,1.2,10.2,,russeda01
193,Marvin Bagley III,26,2TM,PF,51,10,20.0,4.1,6.7,.608,0.3,0.6,.419,3.8,6.1,.627,.627,1.7,2.5,.675,2.6,3.6,6.2,1.4,0.5,0.7,1.1,2.1,10.1,,baglema01
