Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
516,Trey Alexander,22,NOP,SG,5,0,42,13.5,.778,.333,.000,0.0,10.3,5.1,16.3,1.1,2.3,10.0,9.9,0.1,0.0,0.1,.132,0.4,0.2,0.6,0.0,,alexatr01
517,Dario Šarić,31,SAC,C,5,0,41,0.7,.363,.500,.333,2.6,13.9,8.1,5.8,0.0,0.0,22.5,9.2,-0.1,0.0,-0.1,-0.078,-6.7,-2.2,-9.0,-0.1,,saricda01
518,Malachi Smith,26,BRK,SG,2,0,41,1.5,.306,.182,.091,8.1,11.9,9.9,17.3,1.2,4.5,34.4,18.5,-0.2,0.0,-0.2,-0.198,-8.5,-1.4,-9.9,-0.1,,smithma02
519,Skal Labissière,29,WAS,PF,3,0,38,16.4,.650,.500,.000,8.3,17.0,12.6,11.2,2.5,2.3,9.1,12.1,0.1,0.0,0.1,.124,-0.1,0.3,0.2,0.0,,labissk01
520,Charles Bassey,25,2TM,C,3,0,36,13.9,.436,.000,.333,20.9,24.2,22.5,7.2,1.3,5.2,8.8,13.1,0.0,0.0,0.1,.093,-2.2,-0.7,-2.9,0.0,,bassech01
520,Charles Bassey,25,MEM,C,2,0,31,12.7,.376,.000,.375,24.2,28.1,26.2,8.4,1.5,3.0,9.7,13.8,0.0,0.0,0.0,.077,-3.0,-1.4,-4.5,0.0,,bassech01
520,Charles Bassey,25,PHI,C,1,0,5,21.4,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,18.8,0.0,8.5,0.0,0.0,0.0,.192,2.8,4.1,6.9,0.0,,bassech01
521,Grant Nelson,23,BRK,PF,4,0,35,17.7,.634,.000,1.111,3.2,17.4,9.9,22.4,1.4,13.1,23.0,21.6,0.0,0.1,0.1,.100,-2.4,4.7,2.2,0.0,,nelsogr02
522,Tristan Enaruna,24,CLE,SF,6,0,34,9.8,.395,.313,.063,16.1,13.0,14.5,12.3,1.4,0.0,10.8,22.8,-0.1,0.0,0.0,-0.031,-4.5,-3.4,-7.9,-0.1,,enarutr01
523,Emanuel Miller,25,CHI,PF,5,0,33,15.2,.540,.462,.154,3.3,6.4,4.9,17.4,2.9,0.0,0.0,17.7,0.1,0.0,0.1,.115,1.7,1.0,2.6,0.0,,milleem01
524,Jahmyl Telfort,24,LAC,PF,8,0,32,-5.3,.087,1.000,1.000,0.0,10.6,5.5,3.8,1.6,0.0,14.8,9.4,-0.1,0.0,-0.1,-0.165,-12.1,-1.8,-13.9,-0.1,,telfoja01
525,Curtis Jones,24,DEN,SG,6,0,31,1.4,.321,.643,.000,3.8,14.0,9.1,12.9,0.0,0.0,6.7,21.1,-0.1,0.0,-0.1,-0.139,-9.8,-5.7,-15.5,-0.1,,jonescu01
526,Hunter Sallis,22,PHI,SG,7,0,26,2.1,.595,.000,.400,0.0,4.3,2.1,20.9,0.0,3.6,46.0,17.7,-0.1,0.0,-0.1,-0.150,-7.7,-2.9,-10.6,-0.1,,sallihu01
527,Mark Sears,23,MIL,PG,7,0,26,15.3,.666,.615,.615,4.4,4.3,4.3,12.4,0.0,0.0,19.5,34.9,0.0,0.0,0.0,.018,2.3,-4.6,-2.3,0.0,,searsma01
528,Chris Mañon,24,LAL,SG,6,0,25,9.2,.347,1.000,1.000,4.8,22.8,14.1,4.6,5.9,7.5,25.8,6.8,0.0,0.1,0.0,.083,-6.4,5.8,-0.6,0.0,,manonch01
529,Orlando Robinson,25,ORL,C,4,1,25,14.7,.700,.400,.000,8.8,8.9,8.9,16.5,1.9,0.0,0.0,8.5,0.1,0.0,0.1,.199,0.7,0.6,1.3,0.0,,robinor01
530,Dalano Banton,26,2TM,PG,5,0,25,12.7,.506,.000,.222,4.8,0.0,2.3,24.9,2.0,4.1,16.8,20.8,0.0,0.0,0.0,.032,-4.4,-0.7,-5.1,0.0,,bantoda01
530,Dalano Banton,26,LAC,PG,2,0,10,27.9,.750,.000,.000,12.0,0.0,5.8,37.6,5.0,0.0,20.0,22.2,0.0,0.0,0.0,.226,7.3,5.1,12.4,0.0,,bantoda01
530,Dalano Banton,26,BOS,PG,3,0,15,2.5,.340,.000,.400,0.0,0.0,0.0,16.5,0.0,6.8,14.5,19.9,0.0,0.0,0.0,-0.098,-12.2,-4.6,-16.8,-0.1,,bantoda01
531,Dillon Jones,24,NYK,SF,5,0,24,16.9,.518,.600,.800,9.1,18.5,13.8,19.8,4.1,0.0,0.0,12.0,0.1,0.0,0.1,.254,-1.1,4.7,3.6,0.0,,jonesdi01
532,Isaac Jones,25,2TM,PF,5,1,24,9.4,.595,.400,.400,9.0,9.1,9.3,5.2,0.0,0.0,0.0,10.3,0.0,0.0,0.0,.091,-4.2,-1.7,-5.9,0.0,,jonesis01
532,Isaac Jones,25,SAC,PF,3,1,17,5.7,.521,.500,1.000,12.7,0.0,6.5,7.3,0.0,0.0,0.0,7.2,0.0,0.0,0.0,.062,-6.3,-1.8,-8.1,0.0,,jonesis01
532,Isaac Jones,25,DET,PF,2,0,7,18.5,.667,.333,.000,0.0,31.3,15.8,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,.163,1.0,-1.5,-0.6,0.0,,jonesis01
